,Name,Academic (1),Affiliations
481,merima ali,0,chr. michelsen institutes
482,ignacio arbués,0,national institute of statistics (ine) government of spain
483,esmaiel abounoori,0, 
484,muhammad ali,1,office of research innovation and commercialization iqra university
485,muhammad farooq arby,0,(80%) state bank of pakistan
486,sofiane aboura,0, 
487,muhammad ali,1,applied economics research center (aerc) university of karachi
488,vladimir arčabić,1,"faculty of economics, university of zagreb"
489,hashem elshafie abouwafia,0,department of accounting
490,muhammad mahboob ali,0,(90%) center for breakthrough thinking in bangladesh (center for breakthrough thinking in bangladesh)
491,calin arcalean,1,esade business school university ramon llull
492,john m. abowd,0,(48%) census bureau department of commerce government of the united states
493,nabil ali,0,department for education (dfe)
494,jean-louis leslie arcand,0,international economics section the graduate institute of international and development studies
495,salem m. abo-zaid,1,department of economics texas tech university
496,safdar ali,0,pakistan institute of development economics
497,enzo fabio arcangeli,0, 
498,arpad j. abraham,1,department of economics duke university
499,searat ali,0,department of accounting
500,manuela arcanjo,1,(50%) higher institute of economics and management (iseg) university of lisbon
501,biju abraham,0,(50%) centre for economic and social studies (cess)
502,sharafat ali,1,government postgraduate college kot sultan
503,daniel g. arce,1,department of economics university of texas-dallas
504,katharine abraham,1,department of economics university of maryland
505,s. nageeb m. ali,1,department of economics university of california-san diego (ucsd)
506,oscar arce,0,bank of spain
507,vinoj abraham,0,centers for development studies (cds)
508,syed babar ali,1,national university of computer and emerging sciences (management sciences)
509,luis alberto arce catacora,0, 
510,zurab abramishvili,1,(70%) international school of economics tbilisi state university
511,syed mubashir ali,0, 
512,angelo federico arcelli,1,international economics department school of advanced international studies johns hopkins university
513,ran abramitzky,1,department of economics stanford university
514,didier yélognissè alia,1,department of agricultural economics university of kentucky
515,agustin l. arcenas,1,school of economics university of the philippines at diliman
516,vyacheslav abramov,0,vyacheslav
517,roger aliaga-diaz,0,the vanguard group
518,eva o. arceo-gomez,0,center for economic research and teaching (cide)
519,elena abramova,1,laboratory for analysis and forecast of economic processes national research university higher school of economics
520,huson joher ali ahmed,1,department of economics business school deakin university
521,edith jeanne archambault,0,applied modeling
522,laura abramovsky,0,(70%) institute for fiscal studies (ifs)
523,elmira aliakbari,0,fraser institute
524,liza archanskaia,0,centrum for economics studiën faculteit economie en bedrijfswetenschappen ku leuven
525,burton alan abrams,1,department of economics lerner college of business and economics university of delaware
526,bradly alicea,0,orthogonal research
527,david archer,0,bank for international settlements (bis)
528,alain abran,1,school of higher technology - university of québec
529,abdulla alikhanov,1,azerbaijan state economic university
530,eugenio archontopoulos,0,european patent office
531,rosa m. abrantes-metz,0,lecg llc
532,arthur alik-lagrange,1,research group in mathematical and quantitative economics (gremaq) toulouse school of economics (tse)
533,james archsmith,1,economics department university of california-davis
534,muhammad abrar ul haq,1,(50%) college of business universiti utara malaysia
535,olorunfemi yasiru alimi,1,department of economics university of lagos
536,peter arcidiacono,1,"department of economics 
duke university"
537,graziano abrate,1,"university economics faculty of east piedmont ""amedeo avogadro"""
538,r. santos alimi,0, 
539,luca arciero,0,bank of italy
540,jan abrell,0,centre for energy policy and economics (cepe) cer-eth center of economic research department of management
541,bobur alimov,0,asian development bank
542,andres mauricio arcila,0, 
543,maria joy v. abrenica,1,school of economics university of the philippines at diliman
544,luca alinovi,0,food and agriculture organization (fao) united nations
545,ismael enrique arciniegas rueda,0, 
546,alexandre abreu,1,department of economics school of oriental and african studies (soas)
547,maria alipranti,0,düsseldorf institute for competition economics (dice) economic sciences faculty heinrich-heine-university düsseldorf
548,angel arcos,1,department of industrial organization and management of companies and school of ingenerios university of sevilla
549,marcelo de paiva abreu,1,department of pontifical economics catholic university of rio de janeiro
550,dionissi aliprantis,0,economic research federal reserve bank of cleveland
551,omid m ardakani,1,department of economics armstrong atlantic state university
552,margarida abreu,1,(60%) department of economics higher institute of economics and management (iseg) university of lisboa
553,olimkhon f. aliqoriev,0,institute for forecasting and macroeconomic research
554,adina ardelean,1,department of economics santa clara university
555,maria abreu,1,urban and regional studies institute (ursi) faculty of spatial science (faculty of spatial science) university of groningen (royal university of groningen)
556,armida s. alisjahbana,0,center for economics and development studies fakultas economic universitas padjadjaran
557,pier giorgio ardeni,1,department of economics alma mater studiorum - bologna university
558,rute abreu,0,escola superior de technology and gestão instituto politécnico da guarda
559,g. alivelu,0,centre for economic and social studies (cess)
560,david ardia,1,(95%) institute of financial analysis (iaf) faculty of economics (fse) university of neuchâtel
561,luisa fernanda abreu sernandez,1,department of applied economics faculty of economic and business sciences university of vigo
